Date,Open,High,Low,Close,Volume,OpenInt
2005-12-19,9.0966,9.2966,9.0966,9.1417,147457351,0
2005-12-20,9.1674,9.2693,9.1072,9.2345,133547797,0
2005-12-21,9.2917,9.4267,9.2888,9.413,131732602,0
2005-12-22,9.467,9.538,9.4258,9.4819,103351853,0
2005-12-23,9.4969,9.51,9.3861,9.3931,64059818,0
2005-12-27,9.4839,9.628,9.4719,9.506,164601939,0
2005-12-28,9.519,9.572,9.389,9.4228,110919913,0
2005-12-29,9.4557,9.4557,9.1462,9.15,136655807,0
2005-12-30,9.0814,9.2751,9.0081,9.2064,174081204,0
2006-01-03,9.2722,9.571,9.2526,9.571,224233638,0
2006-01-04,9.628,9.73,9.54,9.6,172662101,0
2006-01-05,9.591,9.591,9.4458,9.523,124912881,0
2006-01-06,9.637,9.823,9.545,9.769,196417600,0
2006-01-09,9.835,9.886,9.7,9.739,188213509,0
2006-01-10,9.764,10.485,9.711,10.356,635685920,0
2006-01-11,10.737,10.859,10.577,10.744,416203660,0
2006-01-12,10.879,11.065,10.708,10.794,356865841,0
2006-01-13,10.888,11.015,10.833,10.959,216310030,0
2006-01-17,10.965,11.062,10.74,10.848,232661139,0
2006-01-18,10.641,10.764,10.48,10.565,332713712,0
2006-01-19,10.424,10.458,10.083,10.122,472861708,0
2006-01-20,10.154,10.25,9.711,9.742,317157060,0
2006-01-23,9.752,10.189,9.731,9.946,295519535,0
2006-01-24,10.088,10.169,9.704,9.738,318070991,0
2006-01-25,9.917,9.925,9.3792,9.502,355727991,0
2006-01-26,9.562,9.662,9.2122,9.2626,328984852,0
2006-01-27,9.3342,9.4258,9.1043,9.2237,265924867,0
2006-01-30,9.1282,9.809,9.0749,9.604,388283817,0
2006-01-31,9.671,9.775,9.4458,9.672,254411304,0
2006-02-01,9.604,9.79,9.558,9.66,145338449,0
2006-02-02,9.647,9.652,9.2267,9.2335,197102201,0
2006-02-03,9.2556,9.3215,9.0966,9.1995,193012150,0
2006-02-06,9.2414,9.2849,8.5469,8.6186,460627942,0
2006-02-07,8.7516,8.8977,8.5391,8.6569,386911118,0
2006-02-08,8.7671,8.8466,8.4521,8.8118,265774594,0
2006-02-09,8.8632,8.8656,8.2639,8.3176,320518384,0
2006-02-10,8.3406,8.666,8.055,8.6199,490534811,0
2006-02-13,8.5186,8.5482,8.2779,8.287,246305917,0
2006-02-14,8.338,8.7209,8.3241,8.6621,323721270,0
2006-02-15,8.6199,8.9156,8.5482,8.8644,319780928,0
2006-02-16,8.9636,9.093,8.8977,9.0369,264382770,0
2006-02-17,9.0043,9.0774,8.9147,9.0013,160611426,0
2006-02-21,9.0447,9.0654,8.7952,8.8466,217343065,0
2006-02-22,8.8426,9.1787,8.7083,9.1331,272787728,0
2006-02-23,9.1924,9.3489,9.1472,9.1896,238898288,0
2006-02-24,9.2276,9.3342,9.1178,9.152,149120330,0
2006-02-27,9.2228,9.2365,9.0474,9.09,220603158,0
2006-02-28,9.1704,9.2712,8.7209,8.7708,352990588,0
2006-03-01,8.8364,8.899,8.711,8.8492,212775717,0
2006-03-02,8.8389,8.9636,8.7937,8.9147,174344973,0
2006-03-03,8.8785,8.9529,8.648,8.6722,205588060,0
2006-03-06,8.6569,8.6722,8.3161,8.3855,254456317,0
2006-03-07,8.4215,8.5673,8.3341,8.4917,243243543,0
